Code,Company,Market Cap,Weight(%)
DMKT,AMP Capital Dynamic Markets Fund (Hedge Fund),"7,492,320",0.01
GLIN,AMP Capital Global Infr Sec Fund (Unhedged) (Managed Fund),"34,923,700",0.05
AGX1,Antipodes Global Shares (Quoted Managed Fund),"23,004,400",0.03
HBRD,Betashares Active Australian Hybrids Fund (Managed Fund),"657,236,000",0.94
ASIA,Betashares Asia Technology Tigers ETF,"118,386,000",0.17
A200,Betashares Australia 200 ETF,"710,995,000",1.02
HVST,Betashares Australian Dividend Harvester Fund (Managed Fund),"125,924,000",0.18
BEAR,Betashares Australian Equities Bear (Hedge Fund),"121,655,000",0.17
EX20,Betashares Australian Ex-20 Portfolio Diversifier ETF,"109,787,000",0.16
AGVT,Betashares Australian Government Bond ETF,"12,476,700",0.02
AAA,Betashares Australian High Interest Cash ETF,"1,753,530,000",2.52
CRED,Betashares Australian Investment Grade Corporate Bond ETF,"325,794,000",0.47
BBOZ,Betashares Australian Strong Bear (Hedge Fund),"320,410,000",0.46
FAIR,Betashares Australian Sustainability Leaders ETF,"496,474,000",0.71
EEU,Betashares Euro ETF,"10,593,400",0.02
HEUR,Betashares Europe ETF-Currency Hedged,"23,386,400",0.03
F100,Betashares Ftse 100 ETF,"130,624,000",0.19
GEAR,Betashares Geared Australian Equity Fund (Hedge Fund),"166,898,000",0.24
GGUS,Betashares Geared US Equity Fund Currency Hedged (Hedgefund),"40,950,000",0.06
FOOD,Betashares Global Agriculture ETF - Currency Hedged,"16,634,000",0.02
BNKS,Betashares Global Banks ETF - Currency Hedged,"19,575,500",0.03
HACK,Betashares Global Cybersecurity ETF,"205,348,000",0.3
FUEL,Betashares Global Energy Companies ETF - Currency Hedged,"144,634,000",0.21
MNRS,Betashares Global Gold Miners ETF - Currency Hedged,"21,057,300",0.03
DRUG,Betashares Global Healthcare ETF - Currency Hedged,"41,618,400",0.06
INCM,Betashares Global Income Leaders ETF,"15,951,700",0.02
ETHI,Betashares Global Sustainability Leaders ETF,"645,125,000",0.93
IIND,Betashares India Quality ETF,"21,031,300",0.03
HJPN,Betashares Japan ETF-Currency Hedged,"31,114,900",0.04
BNDS,Betashares Legg Mason Australian Bond Fund (Managed Fund),"114,807,000",0.16
EMMG,Betashares Legg Mason Emerging Markets Fund (Managed Fund),"9,896,780",0.01
EINC,Betashares Legg Mason Equity Income Fund (Managed Fund),"22,886,100",0.03
AUST,Betashares Managed Risk Australian Share Fund (Managed Fund),"45,254,300",0.07
AUDS,Betashares Strong Australian Dollar Fund (Hedge Fund),"11,688,000",0.02
BBUS,Betashares US Equities Strong Bear Currency Hedged (HF),"243,459,000",0.35
IMPQ,Einvest Future Impact Small Caps Fund (Managed Fund),"1,409,040",0
EIGA,Einvest Income Generator Fund (Managed Fund),"21,482,600",0.03
ACDC,ETFs Battery Tech & Lithium ETF,"18,595,500",0.03
ESTX,ETFs Euro STOXX 50 ETF,"47,008,000",0.07
CORE,ETFs Global Core Infrastructure ETF,"18,837,400",0.03
ETPMAG,ETFs Group,"103,733,000",0.15
ETPMPD,ETFs Group,"4,984,060",0.01
ETPMPM,ETFs Group,"12,192,700",0.02
ETPMPT,ETFs Group,"5,692,190",0.01
GOLD,ETFs Metal Securities Australia Ltd,"1,368,830,000",1.97
CURE,ETFs S&P Biotech ETF,"9,114,810",0.01
FEMX,Fidelity Global Emerging Markets Fund (Managed Fund),"77,034,900",0.11
INIF,Intelligent Investor Aus Equity Income Fund (Managed Fund),"26,625,900",0.04
INES,Intelligent Investor Ethical Share Fund (Managed Fund),"19,354,400",0.03
IAA,Ishares Asia 50 ETF,"501,226,000",0.72
IZZ,Ishares China Large-Cap ETF,"98,482,700",0.14
BILL,Ishares Core Cash ETF,"512,064,000",0.74
IAF,Ishares Core Composite Bond ETF,"1,118,020,000",1.61
IHCB,Ishares Core Global Corporate Bond(Aud Hedged) ETF,"295,311,000",0.42
IHWL,Ishares Core MSCI World All Cap (Aud Hedged) ETF,"83,096,800",0.12
IWLD,Ishares Core MSCI World All Cap ETF,"116,738,000",0.17
IOZ,Ishares Core S&P/ASX 200 ETF,"1,987,430,000",2.86
AUMF,Ishares Edge MSCI Australia Multifactor ETF,"16,161,400",0.02
ISEC,Ishares Enhanced Cash ETF,"201,709,000",0.29
IEU,Ishares Europe ETF,"526,745,000",0.76
IHOO,Ishares Global 100 Aud Hedged ETF,"78,803,600",0.11
IOO,Ishares Global 100 ETF,"1,746,150,000",2.51
IXI,Ishares Global Consumer Staples ETF,"173,331,000",0.25
IXJ,Ishares Global Healthcare ETF,"719,929,000",1.03
IHHY,Ishares Global High Yield Bond (Aud Hedged) ETF,"57,565,300",0.08
ILB,Ishares Government Inflation ETF,"134,182,000",0.19
IHEB,Ishares J.P. Morgan Usd Emerging Markets (Aud Hedged) ETF,"31,688,400",0.05
IVE,Ishares MSCI Eafe ETF,"353,333,000",0.51
IEM,Ishares MSCI Emerging Markets ETF,"656,583,000",0.94
IJP,Ishares MSCI Japan ETF,"290,140,000",0.42
IKO,Ishares MSCI South Korea ETF,"77,700,800",0.11
IHVV,Ishares S&P 500 Aud Hedged ETF,"526,098,000",0.76
IVV,Ishares S&P 500 ETF,"3,161,690,000",4.54
IJH,Ishares S&P Mid-Cap ETF,"119,184,000",0.17
IJR,Ishares S&P Small-Cap ETF,"162,233,000",0.23
ILC,Ishares S&P/ASX 20 ETF,"302,821,000",0.44
IHD,Ishares S&P/ASX Dividend Opportunities ETF,"271,089,000",0.39
ISO,Ishares S&P/ASX Small Ordinaries ETF,"95,920,200",0.14
IGB,Ishares Treasury ETF,"64,733,700",0.09
KSM,K2 Australian Small Cap Fund (Hedge Fund),"12,633,800",0.02
MGE,Magellan Global Equities Fund (Managed Fund),"1,676,750,000",2.41
MHG,Magellan Global Equities Fund Currency Hedged (Managed Fund),"165,360,000",0.24
MICH,Magellan Infrastructure Fund (Currency Hedged)(Managed Fund),"580,344,000",0.83
MOGL,Montgomery Global Equities Fund (Managed Fund),"82,861,300",0.12
GROW,Schroder Real Return Fund (Managed Fund),"39,554,600",0.06
DJRE,SPDR Dow Jones Global Real Estate Fund,"277,690,000",0.4
BOND,SPDR S&P/ASX Australian Bond Fund,"46,125,000",0.07
GOVT,SPDR S&P/ASX Australian Government Bond Fund,"25,933,600",0.04
MONY,Ubs IQ Cash ETF,"1,901,270",0
DIV,Ubs IQ Morningstar Australia Dividend Yield ETF,"12,033,900",0.02
ETF,Ubs IQ Morningstar Australia Quality ETF,"4,882,000",0.01
FLOT,Vaneck Vectors Australian Floating Rate ETF,"263,925,000",0.38
MVA,Vaneck Vectors Australian Property ETF,"198,205,000",0.28
CNEW,Vaneck Vectors China New Economy ETF,"73,536,800",0.11
CETF,Vaneck Vectors Ftse China A50 ETF,"23,261,800",0.03
IFRA,Vaneck Vectors Ftse Global Infrastructure (Hedged) ETF,"214,111,000",0.31
GDX,Vaneck Vectors Gold Miners ETF,"256,520,000",0.37
MOAT,Vaneck Vectors Morningstar Wide Moat ETF,"162,763,000",0.23
GRNV,Vaneck Vectors MSCI Australian Sustainable Equity ETF,"54,444,900",0.08
ESGI,Vaneck Vectors MSCI International Sustainable Equity ETF,"34,885,400",0.05
EMKT,Vaneck Vectors MSCI Multifactor Emerging Markets Equity ETF,"28,996,300",0.04
MVB,Vaneck Vectors Australian Banks ETF,"49,410,400",0.07
MVE,Vaneck Vectors S&P/ASX Midcap ETF,"117,128,000",0.17
MVOL,Ishares Edge MSCI Australia Minimum Volatility ETF,"44,941,800",0.06
MVR,Vaneck Vectors Australian Resources ETF,"54,325,900",0.08
MVS,Vaneck Vectors Small Companies Masters ETF,"59,295,100",0.09
MVW,Vaneck Vectors Australian EQUAL Weight ETF,"1,035,590,000",1.49
NDIA,ETFs Reliance India Nifty 50 ETF,"10,737,900",0.02
NDQ,Betashares Nasdaq 100 ETF,"818,825,000",1.18
OOO,Betashares Crude Oil INDEX ETF-Currency Hedged (Synthetic),"213,656,000",0.31
OZF,SPDR S&P/ASX 200 Financials Ex A-REIT Fund,"63,954,800",0.09
OZR,SPDR S&P/ASX 200 Resources Fund,"77,260,900",0.11
PAXX,Platinum Asia Fund (Quoted Managed Hedge Fund),"141,586,000",0.2
PIXX,Platinum International Fund (Quoted Managed Hedge Fund),"328,581,000",0.47
PLUS,Vaneck Vectors Australian Corporate Bond Plus ETF,"250,500,000",0.36
PMGOLD,Gold Corporation,"8,320,420,000",11.96
POU,Betashares British Pound ETF,"20,667,400",0.03
QAG,Betashares Agriculture ETF-Currency Hedged (Synthetic),"2,875,280",0
QAU,Betashares Gold Bullion ETF - Currency Hedged,"229,805,000",0.33
QCB,Betashares Commodities Basket ETF-Currency Hedged(Synthetic),"6,869,630",0.01
QFN,Betashares Australian Financials Sector ETF,"14,092,500",0.02
QHAL,Vaneck Vectors MSCI World Ex Australia Quality (Hedged) ETF,"165,173,000",0.24
QLTY,Betashares Global Quality Leaders ETF,"45,021,000",0.06
QMIX,SPDR MSCI World Quality MIX Fund,"23,838,700",0.03
QOZ,Betashares Ftse Rafi Australia 200 ETF,"226,860,000",0.33
QPON,Betashares Australian Bank Senior Floating Rate Bond ETF,"726,725,000",1.04
QRE,Betashares Australian Resources Sector ETF,"69,814,200",0.1
QUAL,Vaneck Vectors MSCI World Ex Australia Quality ETF,"1,023,230,000",1.47
