ASX code,Company name,Listing date,GICs industry group,Market Cap
14D,1414 DEGREES LIMITED,12/9/18,Capital Goods,25038807
1AD,ADALTA LIMITED,22/8/16,"Pharmaceuticals, Biotechnology & Life Sciences",33099243
1AG,ALTERRA LIMITED,16/5/08,Commercial & Professional Services,12409932
1ST,1ST GROUP LIMITED,9/6/15,Health Care Equipment & Services,9766189
29M,29METALS LIMITED,2/7/21,Materials,1105046500
2BE,TUBI LIMITED,14/6/19,Energy,N/A
360,LIFE360 INC.,10/5/19,Software & Services,1258144719
3DA,AMAERO INTERNATIONAL LTD,6/12/19,Capital Goods,127271494
3DP,POINTERRA LIMITED,27/3/08,Software & Services,321957947
3MF,3D METALFORGE LIMITED,2/3/21,Commercial & Professional Services,27567296
3PL,3P LEARNING LIMITED..,9/7/14,Consumer Services,356664579
4DS,4DS MEMORY LIMITED,9/12/10,Semiconductors & Semiconductor Equipment,204747008
4DX,4DMEDICAL LIMITED,7/8/20,Health Care Equipment & Services,443210215
5GG,PENTANET LIMITED,29/1/21,Telecommunication Services,188670536
5GN,5G NETWORKS LIMITED,17/11/17,Telecommunication Services,102263705
88E,88 ENERGY LIMITED,20/1/00,Energy,501148262
8CO,8COMMON LIMITED,27/8/14,Software & Services,24061171
8EC,8IP EMERGING COMPANIES LIMITED,1/12/15,Not Applic,N/A
8IH,8I HOLDINGS LTD,17/12/14,Diversified Financials,99483750
8VI,8VI HOLDINGS LIMITED,16/12/15,Consumer Services,210177133
92E,92 ENERGY LIMITED,15/4/21,Energy,18862725
99L,99 LOYALTY LIMITED.,8/10/13,Software & Services,75379380
9SP,9 SPOKES INTERNATIONAL LIMITED,9/6/16,Software & Services,25386733
A1G,AFRICAN GOLD LTD.,14/2/19,Materials,17367490
A1M,AIC MINES LIMITED,4/11/93,Materials,18553055
A2B,A2B AUSTRALIA LIMITED,14/12/99,Transportation,157764195
A2M,THE A2 MILK COMPANY LIMITED,31/3/15,"Food, Beverage & Tobacco",5062627480
A3D,AURORA LABS LIMITED,16/8/16,Capital Goods,10702753
A4N,ALPHA HPA LIMITED,22/10/07,Materials,388219636
A8G,AUSTRALASIAN GOLD LIMITED,13/5/21,Materials,6834741
AAC,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,10/8/01,"Food, Beverage & Tobacco",843873446
AAJ,ARUMA RESOURCES LIMITED,23/7/10,Materials,6463652
AAP,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,7/1/04,"Food, Beverage & Tobacco",7015957
AAR,ANGLO AUSTRALIAN RESOURCES NL,13/11/86,Materials,48290518
AAU,ANTILLES GOLD LIMITED,25/11/93,Materials,19181533
ABA,AUSWIDE BANK LTD,19/9/94,Banks,274344228
ABB,AUSSIE BROADBAND LIMITED,16/10/20,Class Pend,532952073
ABC,ADBRI LIMITED,31/5/62,Materials,2303775269
ABL,ABILENE OIL AND GAS LIMITED,1/1/74,Energy,N/A
ABP,ABACUS PROPERTY GROUP,14/11/02,Real Estate,2594935004
ABR,AMERICAN PACIFIC BORATES LIMITED,28/7/17,Materials,554531216
ABV,ADVANCED BRAKING TECHNOLOGY LTD,28/5/02,Automobiles & Components,17440843
ABX,AUSTRALIAN BAUXITE LIMITED.,24/12/09,Materials,18180431
ABY,ADORE BEAUTY GROUP LIMITED,23/10/20,Retailing,482858670
AC8,AUSCANN GROUP HOLDINGS LTD,3/5/89,"Pharmaceuticals, Biotechnology & Life Sciences",46257447
ACB,A-CAP ENERGY LIMITED,29/8/06,Energy,55800631
ACF,ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED,27/6/08,Capital Goods,98724233
ACL,AUSTRALIAN CLINICAL LABS LIMITED,14/5/21,Health Care Equipment & Services,712474073
ACP,AUDALIA RESOURCES LIMITED,6/7/11,Materials,13842724
ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED,1/5/14,Not Applic,102826966
ACR,ACRUX LIMITED,29/9/04,"Pharmaceuticals, Biotechnology & Life Sciences",39662755
ACS,ACCENT RESOURCES NL,26/8/05,Materials,23767391
ACU,ACUMENTIS GROUP LIMITED,5/12/03,Real Estate,19875644
ACW,ACTINOGEN MEDICAL LIMITED,16/10/07,"Pharmaceuticals, Biotechnology & Life Sciences",190964233
AD1,AD1 HOLDINGS LIMITED,23/6/16,Media & Entertainment,26596082
AD8,AUDINATE GROUP LIMITED,30/6/17,Technology Hardware & Equipment,747491266
ADA,ADACEL TECHNOLOGIES LIMITED,27/2/98,Software & Services,74052861
ADD,ADAVALE RESOURCES LIMITED,6/2/92,Energy,23518748
ADH,ADAIRS LIMITED,17/6/15,Retailing,634039031
ADI,APN INDUSTRIA REIT,3/12/13,Real Estate,718273485
ADN,ANDROMEDA METALS LIMITED,17/9/96,Materials,413127370
ADO,ANTEOTECH LTD,7/4/00,"Pharmaceuticals, Biotechnology & Life Sciences",459006690
ADR,ADHERIUM LIMITED,26/8/15,Health Care Equipment & Services,38263196
ADS,ADSLOT LTD.,17/12/87,Software & Services,53514169
ADT,ADRIATIC METALS PLC,1/5/18,Materials,537754223
ADV,ARDIDEN LTD,25/10/05,Materials,19344188
ADX,ADX ENERGY LTD,29/1/87,Energy,21232512
ADY,ADMIRALTY RESOURCES NL.,1/12/83,Materials,25127139
AE1,AERISON GROUP LTD,12/7/21,Capital Goods,84132809
AEE,AURA ENERGY LIMITED,30/5/06,Energy,N/A
AEF,AUSTRALIAN ETHICAL INVESTMENT LIMITED,17/12/02,Diversified Financials,908088075
AEG,ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,16/12/15,Not Applic,102226351
AEI,AERIS ENVIRONMENTAL LTD,12/9/00,Commercial & Professional Services,43889011
AER,AEERIS LTD,1/4/15,Media & Entertainment,8696209
AEV,AVENIRA LIMITED,10/10/06,Materials,6471396
AFA,ASF GROUP LIMITED,29/5/85,Diversified Financials,38843588
AFG,AUSTRALIAN FINANCE GROUP LTD,22/5/15,Banks,687058934
AFI,AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,30/6/62,Not Applic,9815527767
AFL,AF LEGAL GROUP LTD,19/9/03,Commercial & Professional Services,40191011
AFP,AFT PHARMACEUTICALS LIMITED,22/12/15,"Pharmaceuticals, Biotechnology & Life Sciences",455353106
AFR,AFRICAN ENERGY RESOURCES LIMITED,18/4/07,Energy,14951055
AFW,APPLYFLOW LIMITED,30/11/10,Media & Entertainment,14494830
AGC,AUSTRALIAN GOLD AND COPPER LTD,20/1/21,Materials,15000000
AGD,AUSTRAL GOLD LIMITED,18/4/97,Materials,87369750
AGE,ALLIGATOR ENERGY LIMITED,3/2/11,Energy,83581151
AGG,ANGLOGOLD ASHANTI LIMITED,16/11/99,Materials,10510949854
AGH,ALTHEA GROUP HOLDINGS LIMITED,21/9/18,"Pharmaceuticals, Biotechnology & Life Sciences",90518871
AGI,AINSWORTH GAME TECHNOLOGY LIMITED,17/12/01,Consumer Services,409204624
AGJ,AGRICULTURAL LAND TRUST,10/4/03,Real Estate,N/A
AGL,AGL ENERGY LIMITED.,12/10/06,Utilities,5015422018
AGN,ARGENICA THERAPEUTICS LIMITED,11/6/21,"Pharmaceuticals, Biotechnology & Life Sciences",16097895
AGR,AGUIA RESOURCES LIMITED,13/2/08,Materials,14682467
AGS,ALLIANCE RESOURCES LIMITED,19/10/94,Materials,31202570
AGY,ARGOSY MINERALS LIMITED,3/4/97,Materials,143781246
AHC,AUSTCO HEALTHCARE LIMITED,24/9/04,Health Care Equipment & Services,42628343
AHF,AUSTRALIAN DAIRY NUTRITIONALS GROUP,30/6/06,"Food, Beverage & Tobacco",27593410
AHI,ADVANCED HUMAN IMAGING LTD,17/8/15,Software & Services,152666771
AHK,ARK MINES LIMITED,9/5/11,Materials,N/A
AHN,ATHENA RESOURCES LIMITED,22/11/06,Materials,N/A
AHQ,,29/5/12,Materials,
AHX,APIAM ANIMAL HEALTH LIMITED,15/12/15,Health Care Equipment & Services,124132167
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,22/2/99,Transportation,10337308982
AIB,AURORA GLOBAL INCOME TRUST,24/12/07,Not Applic,696679
AIM,AI-MEDIA TECHNOLOGIES LIMITED,15/9/20,Commercial & Professional Services,182212363
AIQ,ALTERNATIVE INVESTMENT TRUST,8/5/05,Not Applic,39213657
AIR,ASTIVITA LIMITED,16/12/09,Capital Goods,22376389
AIS,AERIS RESOURCES LIMITED,2/2/11,Materials,434823620
AIV,ACTIVEX LIMITED,11/4/06,Materials,30112555
AIY,AUTHORISED INVESTMENT FUND LIMITED,19/3/99,Not Applic,N/A
AIZ,AIR NEW ZEALAND LIMITED,1/10/97,Transportation,1616895688
AJJ,ASIAN AMERICAN MEDICAL GROUP LIMITED,19/3/07,Health Care Equipment & Services,10432583
AJL,AJ LUCAS GROUP LIMITED,10/8/99,Capital Goods,43066319
AJM,ALTURA MINING LIMITED,8/1/01,Materials,N/A
AJQ,ARMOUR ENERGY LIMITED,26/4/12,Energy,53313740
AJX,ALEXIUM INTERNATIONAL GROUP LIMITED,22/12/99,Materials,32009862
AJY,ASAPLUS RESOURCES LIMITED,16/11/12,Materials,8160000
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED,1/6/77,Consumer Services,33817834
AKL,AUCKLAND REAL ESTATE TRUST,23/9/05,Real Estate,61863456
AKM,ASPIRE MINING LIMITED,6/2/07,Materials,37565137
AKN,AUKING MINING LIMITED,29/10/07,Materials,9947792
AKO,AKORA RESOURCES LIMITED,15/12/20,Materials,16479915
AKP,AUDIO PIXELS HOLDINGS LIMITED,24/12/04,Consumer Durables & Apparel,768837182
AL3,AML3D LIMITED,20/4/20,Capital Goods,35357721
AL8,ALDERAN RESOURCES LIMITED,9/6/17,Materials,14897055
ALB,ALBION RESOURCES LIMITED,30/4/21,Materials,8360000
ALC,ALCIDION GROUP LIMITED,24/6/11,Health Care Equipment & Services,408746930
ALD,AMPOL LIMITED,31/12/80,Energy,6982251501
